LocCN,LocEN,各哨兵船,福船,一號,二號,三號,四號,蒼船,草撇船,海滄船,鐵頭船,(舟+曾)艚船,艟䚩船,烏船,漁挑船,殻艚船,殻哨船,捌槳船,河田船,輪船,沙船,民漁船,鐵頭漁船,軍漁哨船,民唬船,軍唬船,大小巡哨船,划網船
兩浙江洋河道沿海各區戰船哨船通共,Zhejiang Total,1252,49,,,,,9,16,10,45,5,12,32,4,4,2,1,1,1,114,20,27,113,425,120,73,169
南關錢塘江洋巡哨兵船,South Customs Qiantang River,14,,,,,,,,,,,,,,,,,,,,,,,,,,
[南關]嚴州埠巡哨兵船, [South Customs] Yanzhou,10,,,,,,,,,,,,,,,,,,,,,,,,,,
北關東西運河巡哨兵船,North Customs Canal,23,,,,,,,,,,,,,,,,,,,,,,,,,,4
嘉興區海寧總嘉湖兵巡道並參將標 下中軍官備倭把總各哨兵船共,Jiaxing-Ningbo Jia Lake,99,4,,,,,8,,,,,,,,,,,,,17,,,,54,,6,10
紹興區臨觀總備倭把總各哨兵船,Shaoxing,40,4,,,,,,3,,,,,1,,,,,,,8,4,,,14,,,6
寧波區定海總？兵？？？？各哨兵船,Ningbo,128,,4,,,,,,,,,,1,,,,,,1,16,6,,,58,19,24,20
新設？洋哨兵船,New Sea Patrol,133,,,,,,,,,,,,12,,,,,,,16,,27,,62,,,16
寧紹參將標下中軍官各哨兵船,Ningbo-Shaoxing,84,,,3,,,,,,1,2,,,,,,,,,16,,,,40,12,,10
定海備倭？總下各哨兵船,Dinghai,141,,1,10,,,1,3,,2,,,4,4,,2,,,,,,,,37,20,,33
昌國備倭把總下各哨兵船,Changguo,148,9,,,,,,1,,,3,,11,,4,,,,,15,4,,,32,46,,23
台州區松海總台金嚴参將標下中軍官並備倭把總各哨兵船,Taizhou,174,,2,4,,,,,10,,,12,,,,,,,,1,,,46,55,,,22
溫州區？？？兵巡中營江防遊哨並參將標下隨征標營兵船,Wenzhou,25,,,,,,,,,,,,,,,,,,,,2,,,16,2,,5
金盤總溫處參將標下中軍官各哨兵船,Jin-Pan,65,,,,,3,,2,,5,,,2,,,,,1,,,1,,24,16,4,,
金盤備倭把總下各哨兵船,Jin-Pan,146,,,1,1,3,,7,,15,,,1,,,,1,,,2,3,,13,41,17,,3
衢州六營防？守備下巡哨兵船,Quzhou,18,,,,,,,,,,,,,,,,,,,,,,,,,,